iteration,buffer_size,white_wins,black_wins,draws,loss,policy_loss,value_loss
1,13471,6,11,3,2.155448964834213,1.7714269006252288,0.38402207106351854
2,14699,10,8,2,1.7888060343265533,1.6164294183254242,0.17237661756575107
3,15922,6,11,3,1.6664633584022521,1.5224084484577178,0.1440549086034298
1,13472,16,3,1,2.158527065515518,1.7781901013851167,0.38033696383237836
2,14692,10,10,0,1.8149528217315674,1.6332300889492035,0.18172272838652134
3,15920,8,7,5,1.70357053399086,1.557280433177948,0.14629010029137135
4,17144,13,7,0,1.6559009742736817,1.5084958207607269,0.14740514785051345
5,18371,10,6,4,1.6354161620140075,1.490155748128891,0.1452604155987501
6,19591,11,6,3,1.6352176177501678,1.4847349500656128,0.15048266611993313
7,20813,8,7,5,1.6542736971378327,1.4960300993919373,0.15824360385537148
8,22043,11,9,0,1.6555179810523988,1.4977882170677186,0.15772976405918598
1,13472,9,9,2,2.1637752056121826,1.7791547119617461,0.38462049812078475
2,14704,7,11,2,1.7938229441642761,1.6257644128799438,0.16805853366851806
3,15929,5,12,3,1.7022621393203736,1.5525509130954742,0.14971122659742833
4,17164,13,7,0,1.67929447889328,1.5247564589977265,0.1545380226522684
5,18390,8,10,2,1.6562315118312836,1.5009936952590943,0.15523781724274158
6,19614,9,10,1,1.6549784779548644,1.4960037755966187,0.1589747055619955
7,20839,8,11,1,1.6729927110671996,1.5120640659332276,0.16092864632606507
8,22070,9,9,2,1.6539841270446778,1.4954637241363526,0.15852040238678455
9,23293,7,11,2,1.657145347595215,1.4980785298347472,0.15906682111322878
10,24518,10,9,1,1.6548011994361878,1.4978317081928254,0.15696949623525142
11,25749,13,5,2,1.6659276640415193,1.504753714799881,0.16117395035922527
12,26972,10,9,1,1.6771957504749297,1.5108896493911743,0.16630610182881356
13,28200,8,11,1,1.671798869371414,1.5044259750843048,0.1673728919029236
14,29424,11,7,2,1.6839287841320039,1.5173816275596619,0.1665471564978361
15,30650,5,14,1,1.6954854643344879,1.5271754324436189,0.16831003315746784
16,31875,8,9,3,1.6905461871623992,1.5184033620357513,0.17214282743632794
17,33099,8,11,1,1.7008187556266785,1.522754578590393,0.1780641759186983
